term;tag;value;pstv;ngtv;neut;dunno;pstvNgtvDisagreementRatio
часы;NEUT;0.12;0.237;0.067;0.666;0.03;0.0
чат;NEUT;0.09;0.228;0.053;0.701;0.018;0.0
чау-чау;NEUT;0.42;0.297;0.079;0.376;0.248;0.0
чахлость;NGTV;-1.0;0.02;0.68;0.14;0.16;0.0
чахлый;NGTV;-1.0;0.023;0.791;0.139;0.047;0.0
чахнуть;NGTV;-0.9;0.0;0.7;0.233;0.067;0.0
чахотка;NGTV;-0.91;0.038;0.654;0.212;0.096;0.0
чача;NEUT;0.3;0.24;0.176;0.352;0.232;0.21
чаша;NEUT;0.02;0.188;0.0;0.708;0.104;0.0
чашеобразный;NEUT;0.02;0.167;0.056;0.638;0.139;0.0
чашечка;NEUT;0.35;0.336;0.042;0.513;0.109;0.0
чашка;NEUT;0.1;0.219;0.078;0.656;0.047;0.0
чаща;NEUT;0.01;0.182;0.036;0.709;0.073;0.0
чаять;PSTV;0.73;0.505;0.04;0.267;0.188;0.0
чаёвничать;PSTV;0.71;0.515;0.089;0.287;0.109;0.0
чаёк;PSTV;0.98;0.667;0.0;0.176;0.157;0.0
че;NEUT;-0.34;0.044;0.325;0.517;0.114;0.0
чебурек;PSTV;0.61;0.484;0.065;0.354;0.097;0.0
чебуречная;PSTV;0.56;0.433;0.087;0.362;0.118;0.0
чек;NEUT;0.0;0.082;0.082;0.734;0.102;0.0
чек-пойнт;NEUT;0.36;0.263;0.035;0.395;0.307;0.0
чеканить;NEUT;0.05;0.2;0.0;0.7;0.1;0.0
чеканка;NEUT;0.16;0.208;0.04;0.524;0.228;0.0
чеканный;NEUT;0.2;0.23;0.06;0.52;0.19;0.0
чеканщик;NEUT;0.05;0.2;0.01;0.7;0.09;0.0
чекистский;NGTV;-0.37;0.122;0.235;0.304;0.339;0.12
чековый;NEUT;0.0;0.036;0.036;0.678;0.25;0.0
чел;NEUT;0.1;0.168;0.152;0.496;0.184;0.07
челнок;NEUT;0.2;0.2;0.018;0.455;0.327;0.0
челночный;NEUT;0.0;0.077;0.0;0.731;0.192;0.0
чело;NEUT;0.0;0.167;0.0;0.733;0.1;0.0
человек;NEUT;0.36;0.331;0.079;0.488;0.102;0.0
человеколюбец;PSTV;1.0;0.615;0.0;0.154;0.231;0.0
человеколюбивый;PSTV;1.0;0.75;0.036;0.071;0.143;0.0
человеколюбие;PSTV;1.0;0.759;0.0;0.069;0.172;0.0
человеконенавистник;NGTV;-1.0;0.034;0.724;0.104;0.138;0.0
человеконенавистнический;NGTV;-0.92;0.0;0.681;0.213;0.106;0.0
человеконенавистничество;NGTV;-0.98;0.086;0.656;0.172;0.086;0.0
человекообразный;NEUT;0.0;0.133;0.022;0.823;0.022;0.0
человекоубийство;NGTV;-1.0;0.042;0.771;0.124;0.063;0.0
человечек;PSTV;0.63;0.482;0.096;0.334;0.088;0.0
человечески;PSTV;0.9;0.607;0.094;0.205;0.094;0.0
человеческий;PSTV;0.61;0.523;0.023;0.384;0.07;0.0
человечество;NEUT;0.26;0.262;0.108;0.507;0.123;0.0
человечий;NEUT;0.37;0.353;0.069;0.509;0.069;0.0
человечина;NGTV;-0.62;0.127;0.441;0.295;0.137;0.03
человечище;PSTV;0.78;0.581;0.068;0.266;0.085;0.0
человечность;PSTV;1.0;0.844;0.022;0.067;0.067;0.0
человечный;PSTV;1.0;0.84;0.02;0.12;0.02;0.0
челюстной;NEUT;0.0;0.117;0.078;0.582;0.223;0.0
челюсть;NEUT;0.05;0.188;0.054;0.642;0.116;0.0
челядь;NGTV;-0.69;0.071;0.411;0.241;0.277;0.0
чемодан;NEUT;0.01;0.167;0.083;0.657;0.093;0.0
чемоданный;NEUT;0.0;0.102;0.102;0.633;0.163;0.0
чемоданчик;NEUT;0.47;0.389;0.031;0.427;0.153;0.0
чемпион;PSTV;1.0;0.786;0.018;0.142;0.054;0.0
чемпионат;NEUT;0.47;0.441;0.025;0.483;0.051;0.0
чемпионка;PSTV;0.98;0.739;0.0;0.196;0.065;0.0
чемпионский;PSTV;1.0;0.837;0.0;0.093;0.07;0.0
чемпионство;PSTV;0.92;0.641;0.026;0.205;0.128;0.0
чепуха;NGTV;-0.87;0.043;0.638;0.234;0.085;0.0
чепуховина;NGTV;-0.72;0.05;0.495;0.267;0.188;0.0
чепчик;NEUT;0.17;0.222;0.056;0.555;0.167;0.0
червеобразный;NEUT;-0.1;0.151;0.175;0.515;0.159;0.05
черви;NEUT;-0.14;0.201;0.216;0.546;0.037;0.13
червивый;NGTV;-1.0;0.074;0.741;0.037;0.148;0.0
червовый;NEUT;0.0;0.101;0.132;0.62;0.147;0.0
червонец;NEUT;0.0;0.0;0.038;0.693;0.269;0.0
червоточина;NGTV;-0.56;0.076;0.448;0.381;0.095;0.0
червоточинка;NGTV;-0.93;0.038;0.5;0.154;0.308;0.0
червь;NEUT;-0.14;0.123;0.213;0.574;0.09;0.0
червяк;NEUT;-0.05;0.145;0.169;0.581;0.105;0.0
червячок;NEUT;0.37;0.347;0.097;0.5;0.056;0.0
чердак;NEUT;0.0;0.172;0.069;0.69;0.069;0.0
чердачный;NEUT;0.0;0.04;0.0;0.84;0.12;0.0
чердачок;NEUT;0.22;0.27;0.03;0.58;0.12;0.0
череда;NEUT;0.0;0.115;0.038;0.616;0.231;0.0
чередование;NEUT;0.0;0.132;0.019;0.736;0.113;0.0
чередовать;NEUT;0.0;0.048;0.024;0.809;0.119;0.0
чередоваться;NEUT;0.0;0.16;0.02;0.72;0.1;0.0
черемша;NEUT;0.35;0.27;0.052;0.417;0.261;0.0
черенок;NEUT;0.0;0.149;0.095;0.607;0.149;0.0
череп;NEUT;-0.23;0.139;0.246;0.508;0.107;0.02
черепаха;NEUT;0.24;0.286;0.053;0.586;0.075;0.0
черепаховый;NEUT;0.0;0.08;0.04;0.64;0.24;0.0
черепаший;NEUT;0.0;0.144;0.136;0.601;0.119;0.0
черепашка;PSTV;0.61;0.52;0.008;0.376;0.096;0.0
черепица;NEUT;0.0;0.07;0.023;0.767;0.14;0.0
черепичный;NEUT;0.11;0.194;0.029;0.563;0.214;0.0
черепно-мозговой;NEUT;-0.25;0.119;0.238;0.475;0.168;0.0
черепной;NEUT;0.0;0.059;0.157;0.627;0.157;0.0
черепок;NEUT;-0.18;0.112;0.216;0.525;0.147;0.0
черепушка;NEUT;-0.21;0.176;0.235;0.491;0.098;0.11
чересчур;NGTV;-0.65;0.099;0.512;0.339;0.05;0.0
черешневый;NEUT;0.33;0.308;0.034;0.504;0.154;0.0
черешня;NEUT;0.54;0.488;0.039;0.434;0.039;0.0
черкануть;NEUT;-0.1;0.052;0.221;0.662;0.065;0.0
черкать;NEUT;-0.33;0.091;0.281;0.454;0.174;0.0
черкнуть;NEUT;0.0;0.047;0.116;0.674;0.163;0.0
чернение;NEUT;-0.27;0.142;0.236;0.425;0.197;0.08
чернеться;NGTV;-0.42;0.107;0.272;0.32;0.301;0.06
черника;PSTV;0.61;0.529;0.034;0.387;0.05;0.0
чернила;NEUT;0.0;0.115;0.019;0.731;0.135;0.0
чернильница;NEUT;0.0;0.154;0.0;0.731;0.115;0.0
чернильный;NEUT;-0.04;0.059;0.176;0.618;0.147;0.0
чернить;NGTV;-1.0;0.08;0.52;0.12;0.28;0.0
черничный;NEUT;0.14;0.22;0.04;0.6;0.14;0.0
черно-бурый;NEUT;0.0;0.088;0.127;0.707;0.078;0.0
чернобородый;NEUT;0.0;0.13;0.022;0.739;0.109;0.0
чернобровый;NEUT;0.0;0.16;0.04;0.7;0.1;0.0
черноватый;NEUT;-0.1;0.12;0.19;0.57;0.12;0.0
черновик;NEUT;0.0;0.185;0.037;0.741;0.037;0.0
черновой;NEUT;-0.14;0.152;0.181;0.467;0.2;0.08
черноволосый;NEUT;0.0;0.111;0.019;0.796;0.074;0.0
черноглазый;NEUT;0.0;0.07;0.047;0.79;0.093;0.0
черноголовый;NEUT;0.06;0.179;0.071;0.607;0.143;0.0
черногорский;NEUT;0.07;0.169;0.052;0.558;0.221;0.0
черногривый;NEUT;0.13;0.189;0.126;0.52;0.165;0.0
чернозём;NEUT;0.41;0.35;0.042;0.458;0.15;0.0
чернозёмный;NEUT;0.34;0.28;0.08;0.44;0.2;0.0
чернокнижие;NGTV;-0.8;0.087;0.447;0.194;0.272;0.0
чернокнижник;NGTV;-0.9;0.037;0.556;0.185;0.222;0.0
чернокнижница;NGTV;-0.77;0.122;0.409;0.173;0.296;0.05
чернолесье;NEUT;-0.12;0.136;0.165;0.456;0.243;0.06
черноморец;NEUT;0.06;0.171;0.0;0.572;0.257;0.0
черноморский;NEUT;0.0;0.143;0.048;0.714;0.095;0.0
черноокий;NEUT;0.22;0.24;0.09;0.52;0.15;0.0
черноплодный;NEUT;-0.01;0.137;0.147;0.579;0.137;0.0
чернослив;NEUT;0.4;0.379;0.026;0.509;0.086;0.0
черносмородиновый;NEUT;0.26;0.277;0.05;0.544;0.129;0.0
чернота;NGTV;-0.51;0.04;0.444;0.435;0.081;0.0
черноусый;NEUT;0.0;0.077;0.038;0.654;0.231;0.0
чернохвостый;NEUT;0.19;0.216;0.059;0.509;0.216;0.0
чернуха;NGTV;-0.96;0.084;0.568;0.159;0.189;0.0
чернь;NGTV;-0.85;0.087;0.529;0.201;0.183;0.0
чернявый;NEUT;0.0;0.088;0.147;0.706;0.059;0.0
чернёный;NEUT;-0.06;0.0;0.161;0.549;0.29;0.0
черпак;NEUT;0.0;0.073;0.049;0.634;0.244;0.0
черпануть;NEUT;0.13;0.2;0.067;0.555;0.178;0.0
черпать;NEUT;0.07;0.195;0.073;0.634;0.098;0.0
черпнуть;NEUT;0.18;0.25;0.008;0.609;0.133;0.0
черстветь;NGTV;-0.91;0.024;0.667;0.214;0.095;0.0
черта;NEUT;0.09;0.193;0.053;0.596;0.158;0.0
чертить;NEUT;0.06;0.193;0.088;0.64;0.079;0.0
чертовка;NGTV;-0.87;0.13;0.537;0.195;0.138;0.0
чертовски;NEUT;0.32;0.282;0.245;0.346;0.127;0.35
чертовский;NGTV;-0.53;0.256;0.421;0.232;0.091;0.34
чертовщина;NGTV;-1.0;0.038;0.808;0.077;0.077;0.0
чертог;NEUT;0.27;0.218;0.118;0.4;0.264;0.04
чертополох;NEUT;-0.11;0.127;0.196;0.579;0.098;0.0
чертыхание;NGTV;-0.67;0.109;0.383;0.227;0.281;0.03
чертыхнуться;NGTV;-0.94;0.0;0.586;0.173;0.241;0.0
чертёж;NEUT;0.1;0.224;0.02;0.674;0.082;0.0
чертёжик;NEUT;0.42;0.361;0.065;0.454;0.12;0.0
чертёжник;NEUT;0.12;0.218;0.059;0.624;0.099;0.0
чертёжница;NEUT;0.25;0.255;0.064;0.517;0.164;0.0
чертёжный;NEUT;0.12;0.214;0.078;0.601;0.107;0.0
чертёнок;NGTV;-0.74;0.139;0.496;0.243;0.122;0.03
черчение;NEUT;0.28;0.282;0.096;0.519;0.103;0.0
черёмуха;NEUT;0.46;0.409;0.03;0.463;0.098;0.0
черёмуховый;NEUT;0.26;0.257;0.04;0.495;0.208;0.0
чесание;NEUT;-0.07;0.087;0.183;0.595;0.135;0.0
чесать;NEUT;0.0;0.14;0.06;0.66;0.14;0.0
чесаться;NEUT;-0.26;0.063;0.277;0.544;0.116;0.0
чеснок;NEUT;0.34;0.308;0.1;0.484;0.108;0.0
чесночный;NEUT;0.09;0.212;0.077;0.653;0.058;0.0
чесночок;NEUT;0.32;0.269;0.058;0.442;0.231;0.0
чесотка;NGTV;-0.9;0.077;0.635;0.211;0.077;0.0
чествование;PSTV;1.0;0.607;0.036;0.107;0.25;0.0
чествовать;PSTV;0.83;0.505;0.078;0.203;0.214;0.0
честнейший;PSTV;1.0;0.8;0.05;0.125;0.025;0.0
честность;PSTV;1.0;0.956;0.022;0.0;0.022;0.0
честный;PSTV;1.0;0.816;0.0;0.082;0.102;0.0
честолюбец;NEUT;0.46;0.363;0.275;0.225;0.137;0.45
честолюбивый;PSTV;0.84;0.51;0.135;0.192;0.163;0.02
честолюбие;NEUT;0.54;0.386;0.208;0.228;0.178;0.26
честь;PSTV;1.0;0.87;0.037;0.074;0.019;0.0
чета;NEUT;0.17;0.202;0.067;0.5;0.231;0.0
четверг;NEUT;0.0;0.118;0.02;0.803;0.059;0.0
четверговый;NEUT;0.05;0.156;0.067;0.533;0.244;0.0
четвереньки;NEUT;0.0;0.049;0.122;0.707;0.122;0.0
четверичный;NEUT;0.0;0.138;0.034;0.656;0.172;0.0
четверной;NEUT;0.01;0.156;0.067;0.599;0.178;0.0
четвероклассник;NEUT;0.1;0.208;0.052;0.623;0.117;0.0
четвероногий;NEUT;0.09;0.217;0.043;0.675;0.065;0.0
четверостишие;NEUT;0.15;0.231;0.074;0.612;0.083;0.0
четверостишье;NEUT;0.17;0.246;0.025;0.61;0.119;0.0
четвероюродный;NEUT;0.27;0.301;0.019;0.573;0.107;0.0
четвертак;NEUT;0.1;0.193;0.035;0.579;0.193;0.0
четвертина;NEUT;0.0;0.11;0.08;0.58;0.23;0.0
четвертинка;NEUT;0.23;0.252;0.079;0.527;0.142;0.0
четвертичный;NEUT;0.11;0.2;0.07;0.58;0.15;0.0
четвертование;NGTV;-1.0;0.112;0.589;0.14;0.159;0.0
четвертовать;NGTV;-0.92;0.089;0.556;0.177;0.178;0.0
четверть;NEUT;0.25;0.26;0.02;0.52;0.2;0.0
четвертьфинал;NEUT;0.0;0.115;0.058;0.731;0.096;0.0
четвертьфинальный;NEUT;0.03;0.167;0.093;0.61;0.13;0.0
четвёрка;NEUT;0.32;0.328;0.045;0.545;0.082;0.0
четырежды;NEUT;0.2;0.22;0.04;0.5;0.24;0.0
четырехколёсный;NEUT;0.09;0.215;0.062;0.661;0.062;0.0
четырехсотлетний;NEUT;0.0;0.156;0.031;0.75;0.063;0.0
четырёхглавый;NEUT;0.0;0.038;0.115;0.693;0.154;0.0
четырёхгранный;NEUT;0.0;0.14;0.02;0.7;0.14;0.0
четырёхдневный;NEUT;0.0;0.118;0.02;0.744;0.118;0.0
четырёхзначный;NEUT;0.0;0.107;0.036;0.678;0.179;0.0
четырёхклассный;NEUT;0.16;0.208;0.069;0.535;0.188;0.0
четырёхконечный;NEUT;0.0;0.086;0.029;0.656;0.229;0.0
четырёхкратный;NEUT;0.23;0.274;0.018;0.575;0.133;0.0
четырёхлетие;NEUT;0.01;0.184;0.0;0.714;0.102;0.0
четырёхлетний;NEUT;0.1;0.209;0.066;0.626;0.099;0.0
четырёхлистный;NEUT;0.1;0.23;0.049;0.688;0.033;0.0
четырёхмерный;NEUT;0.1;0.206;0.059;0.617;0.118;0.0
четырёхместный;NEUT;0.09;0.217;0.017;0.666;0.1;0.0
четырёхмесячный;NEUT;0.01;0.159;0.023;0.613;0.205;0.0
четырёхосный;NEUT;0.06;0.2;0.04;0.68;0.08;0.0
четырёхпалый;NEUT;0.0;0.1;0.1;0.54;0.26;0.0
четырёхсторонний;NEUT;0.0;0.077;0.026;0.718;0.179;0.0
четырёхтактный;NEUT;0.0;0.077;0.0;0.692;0.231;0.0
четырёхтомник;NEUT;0.0;0.094;0.057;0.623;0.226;0.0
четырёхтомный;NEUT;0.0;0.136;0.023;0.773;0.068;0.0
четырёхтысячный;NEUT;0.09;0.219;0.047;0.671;0.063;0.0
четырёхугольник;NEUT;0.0;0.091;0.055;0.69;0.164;0.0
четырёхугольный;NEUT;0.0;0.118;0.059;0.725;0.098;0.0
четырёхчасовой;NEUT;0.0;0.047;0.07;0.813;0.07;0.0
четырёхэтажный;NEUT;0.02;0.18;0.02;0.68;0.12;0.0
чехарда;NEUT;0.38;0.317;0.192;0.366;0.125;0.2
чехол;NEUT;0.09;0.209;0.07;0.651;0.07;0.0
чехольчик;NEUT;0.42;0.377;0.018;0.482;0.123;0.0
чехословацкий;NEUT;0.0;0.107;0.036;0.678;0.179;0.0
чечевица;NEUT;0.33;0.325;0.008;0.529;0.138;0.0
чечевичный;NEUT;0.0;0.157;0.078;0.628;0.137;0.0
чеченка;NEUT;0.01;0.162;0.061;0.625;0.152;0.0
чечётка;NEUT;0.41;0.359;0.026;0.461;0.154;0.0
чечёточник;NEUT;0.07;0.179;0.071;0.589;0.161;0.0
чешка;NEUT;0.0;0.13;0.043;0.588;0.239;0.0
чешский;NEUT;0.0;0.125;0.05;0.675;0.15;0.0
чешуевидный;NEUT;0.0;0.107;0.036;0.678;0.179;0.0
чешуйка;NEUT;0.08;0.231;0.038;0.731;0.0;0.0
чешуйчатый;NEUT;0.0;0.054;0.108;0.703;0.135;0.0
чешуя;NEUT;0.09;0.213;0.043;0.659;0.085;0.0
чиж;NEUT;0.38;0.339;0.068;0.474;0.119;0.0
чижик;NEUT;0.45;0.35;0.026;0.41;0.214;0.0
чизкейк;PSTV;0.55;0.487;0.035;0.426;0.052;0.0
чили;NEUT;0.18;0.195;0.153;0.449;0.203;0.1
чилийский;NEUT;0.0;0.086;0.057;0.571;0.286;0.0
чинить;PSTV;1.0;0.722;0.056;0.129;0.093;0.0
чиниться;NEUT;0.49;0.4;0.08;0.41;0.11;0.0
чиновник;NEUT;-0.29;0.07;0.302;0.543;0.085;0.0
чиновница;NEUT;-0.1;0.053;0.197;0.592;0.158;0.0
чиновничек;NGTV;-0.92;0.074;0.593;0.185;0.148;0.0
чиновничество;NGTV;-0.43;0.078;0.349;0.433;0.14;0.0
чиновничий;NGTV;-0.36;0.09;0.24;0.36;0.31;0.0
чиновный;NEUT;0.2;0.196;0.098;0.451;0.255;0.0
чип;NEUT;0.04;0.155;0.129;0.544;0.172;0.0
чипс;NEUT;0.2;0.207;0.117;0.469;0.207;0.0
чириканье;NEUT;0.42;0.414;0.034;0.526;0.026;0.0
чирикать;NEUT;0.33;0.319;0.06;0.518;0.103;0.0
чирикнуть;NEUT;0.33;0.31;0.097;0.505;0.088;0.0
чирканье;NEUT;-0.16;0.195;0.195;0.451;0.159;0.2
чиркать;NEUT;-0.07;0.068;0.182;0.591;0.159;0.0
чиркнуть;NEUT;0.0;0.085;0.162;0.676;0.077;0.0
численность;NEUT;0.0;0.143;0.0;0.619;0.238;0.0
числитель;NEUT;0.0;0.137;0.059;0.667;0.137;0.0
числительный;NEUT;0.04;0.18;0.02;0.64;0.16;0.0
числить;NEUT;0.08;0.161;0.065;0.516;0.258;0.0
числиться;NEUT;0.0;0.14;0.06;0.74;0.06;0.0
число;NEUT;0.01;0.161;0.018;0.625;0.196;0.0
числовой;NEUT;0.06;0.222;0.0;0.741;0.037;0.0
чистейший;PSTV;1.0;0.805;0.024;0.098;0.073;0.0
чистенький;PSTV;1.0;0.76;0.04;0.14;0.06;0.0
чистилище;NGTV;-0.45;0.194;0.349;0.302;0.155;0.22
чистильщик;NEUT;0.33;0.319;0.043;0.509;0.129;0.0
чистить;PSTV;0.57;0.492;0.042;0.399;0.067;0.0
чиститься;PSTV;0.59;0.496;0.033;0.388;0.083;0.0
чистка;PSTV;0.56;0.447;0.068;0.379;0.106;0.0
чистовик;NEUT;0.15;0.256;0.051;0.667;0.026;0.0
чистовой;NEUT;0.39;0.307;0.03;0.425;0.238;0.0
чистокровность;PSTV;0.76;0.562;0.067;0.276;0.095;0.0
чистокровный;PSTV;0.67;0.5;0.058;0.309;0.133;0.0
чистописание;PSTV;0.73;0.578;0.017;0.302;0.103;0.0
чистоплотность;PSTV;1.0;0.884;0.0;0.093;0.023;0.0
чистоплотный;PSTV;1.0;0.865;0.019;0.116;0.0;0.0
чистоплюй;NGTV;-0.62;0.142;0.425;0.265;0.168;0.08
чистопородность;PSTV;0.65;0.467;0.048;0.304;0.181;0.0
чистопородный;PSTV;0.86;0.675;0.0;0.25;0.075;0.0
чистосердечие;PSTV;0.97;0.69;0.024;0.191;0.095;0.0
чистосердечность;PSTV;1.0;0.684;0.07;0.088;0.158;0.0
чистосердечный;PSTV;1.0;0.83;0.0;0.064;0.106;0.0
чистота;PSTV;1.0;0.825;0.025;0.075;0.075;0.0
чистотел;NEUT;0.51;0.431;0.018;0.413;0.138;0.0
чистый;PSTV;1.0;0.815;0.019;0.147;0.019;0.0
чистюля;PSTV;0.74;0.517;0.117;0.266;0.1;0.0
читаемость;PSTV;0.66;0.542;0.034;0.348;0.076;0.0
читалка;NEUT;0.43;0.318;0.14;0.336;0.206;0.12
читальный;NEUT;0.51;0.405;0.045;0.397;0.153;0.0
читальня;NEUT;0.42;0.34;0.049;0.427;0.184;0.0
читатель;NEUT;0.51;0.447;0.03;0.44;0.083;0.0
читательница;NEUT;0.48;0.433;0.015;0.455;0.097;0.0
читательский;NEUT;0.45;0.402;0.051;0.47;0.077;0.0
читать;PSTV;0.65;0.515;0.046;0.339;0.1;0.0
читаться;NEUT;0.3;0.265;0.06;0.47;0.205;0.0
читер;NGTV;-0.95;0.02;0.608;0.176;0.196;0.0
читка;NEUT;0.2;0.179;0.057;0.415;0.349;0.0
читывать;NEUT;0.18;0.155;0.126;0.351;0.368;0.12
чиханье;NEUT;-0.11;0.109;0.211;0.61;0.07;0.0
чихательный;NEUT;-0.27;0.073;0.26;0.488;0.179;0.0
чихать;NEUT;-0.13;0.177;0.202;0.548;0.073;0.08
чихнуть;NEUT;0.0;0.13;0.043;0.762;0.065;0.0
чихуахуа;NEUT;0.41;0.333;0.068;0.437;0.162;0.0
чищеный;NEUT;0.34;0.32;0.049;0.505;0.126;0.0
член;NEUT;0.0;0.151;0.092;0.614;0.143;0.0
член-корреспондент;NEUT;0.15;0.229;0.028;0.596;0.147;0.0
членистоногое;NEUT;0.0;0.074;0.0;0.852;0.074;0.0
членовредительский;NGTV;-1.0;0.08;0.614;0.124;0.182;0.0
членораздельный;NEUT;0.24;0.228;0.044;0.474;0.254;0.0
членский;NEUT;0.0;0.0;0.0;0.8;0.2;0.0
членство;NEUT;0.1;0.213;0.027;0.64;0.12;0.0
чмоканье;NEUT;0.35;0.306;0.29;0.283;0.121;0.49
чмокать;PSTV;0.67;0.475;0.11;0.296;0.119;0.0
чмокнуть;PSTV;0.83;0.625;0.075;0.25;0.05;0.0
чоканье;NEUT;-0.25;0.211;0.237;0.403;0.149;0.25
чокаться;NEUT;0.36;0.311;0.134;0.446;0.109;0.04
чокнутый;NGTV;-1.0;0.0;0.83;0.127;0.043;0.0
чокнуться;NGTV;-0.95;0.085;0.676;0.197;0.042;0.0
чопорность;NGTV;-0.93;0.083;0.542;0.167;0.208;0.0
чопорный;NGTV;-1.0;0.074;0.63;0.148;0.148;0.0
чреватый;NGTV;-0.87;0.111;0.513;0.188;0.188;0.0
чрево;NEUT;0.0;0.147;0.127;0.608;0.118;0.0
чревовещание;NEUT;-0.18;0.117;0.194;0.466;0.223;0.0
чревоугодие;NGTV;-1.0;0.081;0.73;0.108;0.081;0.0
чревоугодник;NGTV;-1.0;0.063;0.563;0.093;0.281;0.0
чревоугодничать;NGTV;-1.0;0.088;0.649;0.158;0.105;0.0
чревоугодничество;NGTV;-1.0;0.04;0.76;0.04;0.16;0.0
чрезвычайность;NGTV;-0.49;0.16;0.387;0.335;0.118;0.12
чрезвычайный;NGTV;-0.39;0.171;0.336;0.407;0.086;0.13
чрезмерность;NGTV;-0.78;0.106;0.513;0.239;0.142;0.0
чрезмерный;NGTV;-0.56;0.134;0.42;0.321;0.125;0.06
чтение;PSTV;0.69;0.57;0.058;0.331;0.041;0.0
чтец;NEUT;0.4;0.34;0.05;0.45;0.16;0.0
чтиво;NEUT;0.44;0.323;0.143;0.323;0.211;0.13
чтить;PSTV;1.0;0.717;0.019;0.17;0.094;0.0
чубчик;NEUT;0.0;0.071;0.036;0.679;0.214;0.0
чувак;NEUT;-0.12;0.125;0.208;0.584;0.083;0.0
чувачок;NEUT;0.24;0.24;0.16;0.46;0.14;0.1
чувашский;NEUT;0.04;0.158;0.018;0.561;0.263;0.0
чувиха;NGTV;-0.45;0.156;0.363;0.355;0.126;0.12
чувственность;PSTV;0.88;0.647;0.029;0.226;0.098;0.0
чувственный;PSTV;0.9;0.646;0.046;0.216;0.092;0.0
чувствительность;NEUT;0.49;0.436;0.03;0.451;0.083;0.0
чувствительный;NEUT;0.48;0.421;0.044;0.447;0.088;0.0
чувство;NEUT;0.34;0.341;0.023;0.538;0.098;0.0
чувствование;NEUT;0.41;0.381;0.027;0.495;0.097;0.0
чувствовать;PSTV;0.6;0.538;0.008;0.4;0.054;0.0
чувствоваться;NEUT;0.38;0.333;0.053;0.465;0.149;0.0
чугун;NEUT;0.23;0.266;0.047;0.562;0.125;0.0
чугунный;NEUT;0.0;0.132;0.079;0.684;0.105;0.0
чугунолитейный;NEUT;0.02;0.172;0.034;0.656;0.138;0.0
чугуноплавильный;NEUT;0.0;0.077;0.038;0.808;0.077;0.0
чудак;NEUT;0.18;0.228;0.214;0.51;0.048;0.18
чудаковатость;NEUT;-0.21;0.2;0.24;0.488;0.072;0.16
чудаковатый;NGTV;-0.44;0.15;0.38;0.41;0.06;0.08
чудаческий;NEUT;0.24;0.232;0.225;0.395;0.148;0.29
чудачество;NEUT;0.4;0.33;0.226;0.314;0.13;0.3
чудачествовать;NEUT;0.36;0.321;0.255;0.339;0.085;0.35
чудачить;NEUT;0.24;0.242;0.217;0.433;0.108;0.24
чудесить;PSTV;0.57;0.39;0.162;0.257;0.191;0.14
чудесник;PSTV;0.98;0.6;0.08;0.16;0.16;0.0
чудесность;PSTV;0.96;0.778;0.0;0.222;0.0;0.0
чудесный;PSTV;1.0;0.818;0.055;0.036;0.091;0.0
чудик;NGTV;-0.35;0.254;0.297;0.305;0.144;0.4
чудить;NEUT;-0.32;0.258;0.297;0.359;0.086;0.35
чудиться;NEUT;0.2;0.211;0.13;0.472;0.187;0.03
чудище;NGTV;-1.0;0.056;0.759;0.148;0.037;0.0
чудной;PSTV;0.55;0.426;0.103;0.368;0.103;0.0
чудный;PSTV;1.0;0.696;0.043;0.174;0.087;0.0
чудо;PSTV;1.0;0.8;0.04;0.14;0.02;0.0
чудо-юдо;NEUT;-0.34;0.264;0.304;0.328;0.104;0.39
чудовище;NGTV;-0.9;0.038;0.692;0.232;0.038;0.0
чудовищность;NGTV;-1.0;0.071;0.762;0.119;0.048;0.0
чудовищный;NGTV;-1.0;0.018;0.86;0.104;0.018;0.0
чудодейственность;PSTV;1.0;0.712;0.038;0.115;0.135;0.0
чудодейственный;PSTV;1.0;0.778;0.0;0.111;0.111;0.0
чудотворец;PSTV;0.95;0.75;0.0;0.219;0.031;0.0
чудотворный;PSTV;1.0;0.667;0.0;0.148;0.185;0.0
чудотворство;PSTV;0.86;0.679;0.0;0.25;0.071;0.0
чужак;NGTV;-0.76;0.027;0.619;0.301;0.053;0.0
чужанин;NGTV;-0.5;0.078;0.344;0.344;0.234;0.0
чужачка;NGTV;-0.68;0.04;0.51;0.31;0.14;0.0
чужбина;NGTV;-0.48;0.053;0.364;0.386;0.197;0.0
чуждость;NGTV;-0.72;0.05;0.454;0.244;0.252;0.0
чуждый;NGTV;-0.71;0.081;0.505;0.279;0.135;0.0
чужеземец;NEUT;-0.15;0.114;0.228;0.605;0.053;0.0
чужеземка;NEUT;0.0;0.103;0.162;0.661;0.074;0.0
чужеземный;NEUT;-0.23;0.058;0.279;0.586;0.077;0.0
чужеродный;NGTV;-0.84;0.067;0.6;0.233;0.1;0.0
чужестранец;NEUT;0.0;0.134;0.134;0.665;0.067;0.0
чужестранка;NEUT;0.0;0.13;0.037;0.759;0.074;0.0
чужестранный;NEUT;0.0;0.136;0.136;0.553;0.175;0.0
чужое;NEUT;-0.34;0.102;0.305;0.484;0.109;0.0
чуйка;PSTV;0.77;0.525;0.059;0.248;0.168;0.0
чукотский;NEUT;0.0;0.0;0.0;0.846;0.154;0.0
чукча;NEUT;-0.13;0.16;0.192;0.52;0.128;0.07
чулан;NEUT;0.0;0.057;0.038;0.886;0.019;0.0
